cc_code,prov_th,prov_en,region,northeast,pop,sex_ratio,hh_size,pop_growth_pct,gpp_pc,log_gpp_pc
75,จังหวัดสมุทรสงคราม,Samut Songkhram,Central,0,185281,90.9247351716747,2.361801935015105,-3.5256076479286858,167164.206699,12.026731881948718
76,จังหวัดเพชรบุรี,Phetchaburi,West,0,484127,92.68046119740984,2.0071766764235193,0.4010842131677572,156718.940762,11.96220929380283
77,จังหวัดประจวบคีรีขันธ์,Prachuap Khiri Khan,West,0,551443,95.50833876960604,1.8432984245941149,0.13891965903849446,221150.887051,12.306600494371404
80,จังหวัดนครศรีธรรมราช,Nakhon Si Thammarat,South,0,1530435,97.34689009097298,2.449091773230554,-1.3081656855101542,127404.526419,11.755122550680577
81,จังหวัดกระบี่,Krabi,South,0,484796,98.62339088324224,2.2853183114526128,1.4705820792431545,174058.030497,12.067144031198483
82,จังหวัดพังงา,Phangnga,South,0,265653,99.53656063394298,2.0852211180709275,-0.960373412270854,229213.072669,12.342407298273887
83,จังหวัดภูเก็ต,Phuket,South,0,432464,88.5500276853721,1.4265206491621587,4.341196368382838,314921.425882,12.660078445047585
84,จังหวัดสุราษฎร์ธานี,Surat Thani,South,0,1075977,96.66053764777271,1.9222078708591703,0.7727637989521696,188180.575387,12.145157288197701
85,จังหวัดระนอง,Ranong,South,0,192487,100.83574178604593,1.9332991844441767,-0.9697898874323485,99330.584088,11.506208799469974
86,จังหวัดชุมพร,Chumphon,South,0,506856,96.93900150368928,1.9561195308610528,-0.46189376443418473,230319.369731,12.347222188789608
90,จังหวัดสงขลา,Songkhla,South,0,1429125,94.39778005998735,2.3731891277922803,0.036119050068972314,147789.509081,11.90354430446956
91,จังหวัดสตูล,Satun,South,0,324560,98.95178839611364,2.8717549416907042,0.14254947577585497,110311.940136,11.611067450842484
92,จังหวัดตรัง,Trang,South,0,633416,95.33839502137134,2.542807937342684,-1.1174353002151194,111746.19142,11.62398543064224
93,จังหวัดพัทลุง,Phatthalung,South,0,518066,94.45899990240753,2.452894330653485,-0.9579851532374728,87097.977034,11.37478893678442
94,จังหวัดปัตตานี,Pattani,South,0,744971,97.88848748871062,3.5103713127886156,2.6109653381817255,83368.801886,11.331029440256655
95,จังหวัดยะลา,Yala,South,0,556087,98.89800560833238,3.025056166939568,3.2463674475772475,108107.91995,11.590885265975926
96,จังหวัดนราธิวาส,Narathiwat,South,0,828346,97.88769069790776,3.5109225461357836,2.973164816285845,64005.157286,11.066718941688956
